이름, 몸무게, 키
욱상, 60, 153
상은, 80, 176
수예, 66, 162
민욱, 54, 159
수경, 56, 177
경섭, 42, 196
은섭, 42, 165
진욱, 87, 179
건욱, 46, 153
섭건, 79, 165
수욱, 65, 157
경은, 49, 174
채철, 86, 179
건은, 44, 191
민예, 48, 178
은진, 92, 190
은철, 71, 161
민은, 98, 185
철수, 53, 185
욱섭, 66, 153
민철, 72, 193
건섭, 43, 192
건예, 42, 185
경은, 91, 196
채섭, 68, 165
채예, 83, 176
민욱, 78, 198
섭민, 58, 174
민민, 94, 195
민상, 66, 153
민상, 81, 197
예철, 56, 195
민수, 66, 170
채섭, 94, 166
경상, 77, 180
진경, 70, 194
섭섭, 66, 186
건민, 99, 168
예예, 94, 195
욱욱, 82, 183
채건, 92, 196
은은, 85, 150
철건, 93, 163
민채, 89, 151
수진, 51, 173
욱상, 51, 172
경예, 50, 184
욱은, 46, 190
섭철, 89, 175
경욱, 53, 198
은예, 63, 197
상철, 96, 183
욱민, 42, 181
철상, 78, 157
예채, 41, 192
수욱, 55, 152
건채, 76, 179
예민, 88, 165
민민, 73, 155
은수, 49, 191
경건, 57, 185
채상, 61, 163
경예, 53, 157
욱예, 79, 152
상채, 87, 198
섭은, 73, 182
예건, 85, 191
욱진, 53, 175
경수, 59, 153
수채, 61, 161
진욱, 40, 193
상건, 42, 154
철섭, 99, 164
예철, 49, 187
상진, 71, 191
섭섭, 81, 190
철욱, 59, 196
수섭, 44, 195
예은, 77, 174
섭민, 59, 165
채진, 93, 168
경섭, 60, 165
경민, 49, 151
건섭, 82, 185
은상, 91, 193
상채, 70, 191
수수, 89, 156
수철, 76, 187
진채, 67, 154
진건, 48, 175
경진, 60, 178
철예, 78, 177
민섭, 76, 192
채철, 46, 159
상경, 76, 151
수섭, 95, 173
수건, 78, 167
욱진, 65, 153
민은, 96, 167
욱은, 91, 184
진채, 69, 172
건채, 99, 176
은은, 40, 171
상수, 55, 173
상상, 74, 173
예은, 64, 170
섭섭, 69, 169
상채, 44, 155
건민, 67, 172
수경, 73, 160
섭건, 88, 153
진건, 97, 155
진은, 65, 152
진섭, 61, 152
민채, 63, 183
철건, 89, 199
수상, 56, 185
예수, 60, 189
채은, 42, 190
상진, 47, 182
욱섭, 65, 167
진건, 65, 181
철철, 59, 185
민상, 61, 170
상채, 89, 175
욱욱, 56, 160
수진, 78, 153
욱상, 69, 163
예수, 64, 187
민예, 40, 159
섭상, 72, 190
욱철, 92, 156
건은, 64, 192
건진, 75, 193
철섭, 95, 170
채진, 65, 180
예상, 64, 181
섭욱, 86, 197
예진, 76, 154
예상, 52, 165
예상, 73, 164
민욱, 83, 168
건섭, 41, 155
철경, 80, 150
수채, 63, 187
수경, 68, 164
상민, 76, 155
예수, 71, 151
욱건, 70, 199
예섭, 99, 162
수채, 98, 184
채경, 62, 183
수채, 57, 175
예수, 57, 150
건예, 72, 178
진수, 63, 176
욱은, 58, 153
철욱, 40, 185
예채, 52, 161
경상, 75, 199
섭철, 99, 193
섭건, 90, 155
철상, 68, 179
섭수, 97, 182
섭은, 50, 187
욱진, 91, 191
진채, 85, 181
욱건, 51, 197
섭수, 88, 197
은수, 61, 177
은은, 79, 172
수민, 86, 180
수예, 61, 187
섭은, 96, 184
예경, 80, 179
경철, 67, 171
은민, 87, 178
섭섭, 71, 162
수욱, 41, 168
민철, 48, 161
민민, 83, 185
철철, 90, 156
철은, 70, 168
민건, 74, 179
철진, 98, 152
상진, 54, 199
상진, 51, 180
섭경, 51, 166
철은, 56, 183
섭채, 77, 159
진경, 89, 155
진경, 41, 199
진수, 50, 168
수경, 85, 183
수경, 74, 160
채수, 58, 179
